vehicle_type,speed,heading,zone_type,gps_confidence,road_health,distance_to_polygon,hour_of_day,risk_category
Truck,41.2,341.3,School,0.66,15.2,173.4,8,MEDIUM
Bus,66.1,254.2,Construction,0.716,37.4,105.4,23,HIGH
Truck,47.5,104.6,None,0.701,51.0,2377.0,1,LOW
Lorry,22.0,184.6,Bridge,0.786,15.9,189.8,19,LOW
Lorry,106.2,290.2,None,0.848,21.0,1536.0,7,MEDIUM
Tanker,3.8,326.4,School,0.977,59.2,0.0,22,HIGH
Tanker,106.7,278.3,Flood,0.862,14.1,0.0,10,HIGH
Ambulance,42.8,97.4,Construction,0.622,22.7,0.0,11,MEDIUM
Car,8.2,354.3,None,0.681,73.6,2214.1,17,LOW
Ambulance,84.8,26.6,Hospital,0.835,39.8,13.6,9,HIGH
Auto,34.2,116.7,None,0.701,20.8,2168.4,18,LOW
Truck,83.7,201.5,Hairpin,0.582,12.3,22.5,7,HIGH
Truck,3.5,228.5,Bridge,0.996,46.9,0.0,12,LOW
Container,25.2,27.6,Accident,0.867,67.0,0.0,11,MEDIUM
Tanker,88.4,67.0,Hospital,0.697,38.6,22.9,20,HIGH
Lorry,25.1,153.3,Accident,0.825,47.6,0.0,12,MEDIUM
Bike,13.2,121.2,Bridge,0.769,42.7,194.4,10,LOW
Car,105.9,90.4,Bridge,0.659,64.9,0.0,10,MEDIUM
Truck,5.7,100.0,RoadBlock,0.783,98.7,49.2,22,MEDIUM
Police,73.9,273.4,None,0.961,67.0,1653.7,20,LOW
Tanker,9.9,299.9,Flood,0.866,71.0,0.0,23,MEDIUM
Tanker,56.3,81.3,None,0.663,94.3,498.8,18,LOW
Lorry,37.5,40.7,Flood,0.978,57.7,49.1,15,MEDIUM
Car,10.2,322.1,Construction,0.743,75.3,0.0,20,MEDIUM
Ambulance,97.6,280.0,Hospital,0.752,64.6,0.0,12,HIGH
Police,11.2,238.2,None,0.878,74.1,788.0,17,LOW
Car,35.8,268.0,Construction,0.844,18.4,74.2,17,MEDIUM
Container,29.2,87.6,Construction,0.786,81.5,0.0,13,MEDIUM
Car,63.5,176.8,None,0.955,68.1,613.6,16,LOW
Bike,103.5,342.5,Construction,0.71,48.5,193.4,9,MEDIUM
Bike,106.0,306.2,RoadBlock,0.974,25.3,0.0,11,HIGH
Bike,103.0,249.9,School,0.747,22.6,104.1,10,HIGH
Truck,96.5,265.9,None,0.766,82.8,2449.3,9,MEDIUM
Lorry,95.4,327.9,Hospital,0.737,40.4,0.0,23,HIGH
Truck,10.3,207.6,Flood,0.54,63.2,0.0,21,MEDIUM
Bike,4.1,295.3,Accident,0.645,29.4,0.0,16,HIGH
Ambulance,9.4,18.6,RoadBlock,0.361,97.8,103.7,23,MEDIUM
Tanker,35.5,285.5,None,0.951,96.6,2524.3,21,LOW
Police,76.6,146.8,None,0.899,74.3,2014.6,3,LOW
Truck,30.8,342.8,None,0.418,32.3,1132.3,0,MEDIUM
Lorry,83.4,5.2,Bridge,0.844,18.8,0.0,2,HIGH
Car,52.1,62.2,Bridge,0.655,14.1,0.0,1,MEDIUM
Truck,68.8,180.6,Bridge,0.903,67.8,0.0,21,MEDIUM
Bike,64.4,337.5,Flood,0.632,59.1,188.4,18,MEDIUM
Lorry,42.5,345.1,None,0.681,38.7,2550.1,13,LOW
Truck,2.6,292.4,None,0.735,89.0,2231.7,11,LOW
Police,88.4,101.3,Hairpin,0.653,47.1,75.0,20,HIGH
Truck,85.4,122.3,Hairpin,0.9,77.9,0.0,23,HIGH
Truck,99.3,181.4,Bridge,0.817,11.0,0.0,6,MEDIUM
Bus,10.0,114.6,None,0.808,50.4,950.3,5,LOW
Lorry,36.2,241.4,Hospital,0.793,54.5,0.0,17,MEDIUM
Bike,60.4,158.5,School,0.953,78.5,0.0,7,MEDIUM
Police,11.1,30.2,None,0.889,98.8,1185.4,6,LOW
Car,40.8,291.8,Accident,0.936,60.3,0.0,0,MEDIUM
Tanker,99.7,39.9,None,0.832,20.7,440.8,9,MEDIUM
Bike,71.4,267.8,None,0.841,88.2,748.4,4,LOW
Lorry,106.0,4.4,Hairpin,0.837,59.8,193.9,23,HIGH
Container,57.5,226.0,Hairpin,0.494,91.1,0.0,18,HIGH
Bike,30.9,341.2,Accident,0.394,26.9,0.0,16,HIGH
Bus,38.9,209.5,Hospital,0.719,83.2,137.3,2,MEDIUM
Lorry,17.9,327.0,None,0.987,87.9,231.1,3,LOW
Auto,2.9,135.2,Bridge,0.776,85.4,94.3,19,LOW
Truck,45.6,98.2,None,0.837,86.5,817.3,21,LOW
Bike,49.6,46.4,None,0.774,65.6,1138.7,8,LOW
Container,12.5,241.1,Bridge,0.901,59.7,0.0,12,LOW
Tanker,96.4,144.9,None,0.684,22.3,142.2,10,MEDIUM
Truck,38.6,211.8,School,0.993,56.3,0.0,19,MEDIUM
Truck,43.6,223.3,Hospital,0.696,54.3,66.4,6,MEDIUM
Bus,69.7,86.2,None,0.956,90.7,1474.5,2,MEDIUM
Container,73.4,61.9,None,0.919,20.9,1436.3,5,MEDIUM
Bike,22.7,130.8,None,0.92,66.5,337.1,19,LOW
Bike,96.1,330.6,School,0.867,26.6,42.7,17,HIGH
Truck,40.8,173.9,Flood,0.423,13.3,0.0,3,HIGH
Bike,78.5,321.4,Flood,0.863,57.9,0.0,9,MEDIUM
Container,29.6,135.4,RoadBlock,0.945,63.4,136.1,20,MEDIUM
Bike,86.8,178.9,None,0.944,48.8,470.0,8,MEDIUM
Car,31.2,130.3,Hospital,0.985,23.8,49.9,13,MEDIUM
Car,17.7,67.0,School,0.868,98.4,0.0,4,MEDIUM
Tanker,43.8,348.0,Accident,0.877,70.2,185.9,14,MEDIUM
Ambulance,61.2,205.2,School,0.944,48.3,0.0,2,HIGH
Bus,26.7,41.2,Hairpin,0.789,53.3,0.0,18,HIGH
Ambulance,5.7,120.8,Flood,0.468,71.3,0.0,9,MEDIUM
Car,65.5,169.3,None,0.699,96.9,460.5,6,LOW
Truck,80.4,336.9,None,0.817,85.8,505.3,17,MEDIUM
Ambulance,87.5,72.4,Flood,0.771,57.1,0.0,5,HIGH
Bus,96.5,140.9,None,0.996,37.1,2268.1,0,MEDIUM
Container,55.3,83.4,None,0.598,66.2,439.0,21,LOW
Lorry,103.4,225.3,None,0.522,58.0,2692.3,5,MEDIUM
Truck,86.7,54.5,None,0.669,61.3,2311.1,1,MEDIUM
Lorry,96.4,122.8,RoadBlock,0.827,23.5,0.0,11,HIGH
Lorry,79.4,258.5,Bridge,0.685,41.1,0.0,21,MEDIUM
Container,99.9,209.4,None,0.86,62.8,1567.1,2,MEDIUM
Tanker,67.3,6.5,None,0.824,93.0,2151.0,20,LOW
Bike,16.8,206.9,None,0.657,93.3,1407.4,0,LOW
Tanker,12.5,353.6,Accident,0.799,45.9,11.9,8,MEDIUM
Auto,36.9,288.2,None,0.971,92.8,1104.4,11,LOW
Container,38.2,264.8,None,0.749,25.9,1545.3,19,MEDIUM
Truck,46.1,328.4,None,0.347,69.7,616.3,18,LOW
Car,105.7,53.4,None,0.551,77.5,708.7,0,MEDIUM
Bike,98.8,73.6,RoadBlock,0.851,15.9,0.0,13,HIGH
Container,49.9,188.3,None,0.578,26.4,2599.2,21,MEDIUM
Tanker,104.1,134.0,None,0.886,24.1,2176.3,21,MEDIUM
Ambulance,72.5,9.7,None,0.847,19.4,2419.8,17,LOW
Ambulance,19.6,234.3,None,0.799,87.0,2507.6,21,LOW
Bus,43.7,239.8,None,0.716,17.7,702.9,12,MEDIUM
Car,2.9,65.1,None,0.664,40.8,852.3,9,LOW
Auto,41.8,211.9,None,0.969,49.3,954.0,14,LOW
Lorry,104.3,274.1,None,0.92,82.0,1333.1,23,MEDIUM
Truck,2.5,96.5,None,0.984,85.1,2954.8,16,LOW
Auto,57.8,61.6,None,0.859,59.9,1989.1,2,LOW
Lorry,91.3,74.1,None,0.717,69.9,608.6,7,MEDIUM
Bus,100.6,150.3,School,0.946,76.4,0.0,7,HIGH
Auto,66.3,88.1,Hospital,0.948,36.7,0.0,13,HIGH
Auto,52.4,238.3,RoadBlock,0.889,33.6,119.4,22,MEDIUM
Ambulance,5.7,178.2,Bridge,0.723,16.8,0.0,20,MEDIUM
Truck,54.5,247.1,None,0.66,72.5,889.2,7,LOW
Bike,64.9,129.6,None,0.816,58.8,2631.5,1,LOW
Truck,80.5,289.6,None,0.764,54.0,741.5,4,MEDIUM
Bike,108.6,338.9,None,0.811,61.1,2754.9,14,LOW
Bike,3.7,250.4,None,0.861,86.0,1025.4,17,LOW
Bus,91.2,13.3,None,0.923,72.7,1085.6,14,MEDIUM
Lorry,79.7,23.5,None,0.571,66.3,2669.3,16,MEDIUM
Lorry,67.7,83.6,None,0.844,81.9,2994.0,14,LOW
Tanker,38.6,275.4,Bridge,0.928,79.1,0.0,10,LOW
Bike,46.3,264.8,Hospital,0.858,36.7,0.0,4,MEDIUM
Bus,4.6,6.4,RoadBlock,0.806,29.6,0.0,13,MEDIUM
Bike,86.5,32.1,None,0.913,65.2,584.4,13,LOW
Ambulance,109.0,83.2,None,0.781,30.8,611.9,18,MEDIUM
Car,24.3,66.9,None,0.577,89.5,2790.5,15,LOW
Container,109.4,62.4,None,0.951,83.4,750.9,12,MEDIUM
Ambulance,24.6,192.8,Bridge,0.698,33.9,0.0,7,LOW
Police,97.8,343.1,School,0.814,17.8,0.0,10,HIGH
Ambulance,41.0,93.3,Accident,0.545,71.5,0.0,4,HIGH
Bike,93.6,177.8,School,0.965,71.0,0.0,18,HIGH
Car,29.4,315.4,Hospital,0.72,73.8,167.6,13,MEDIUM
Police,76.7,244.2,Accident,0.837,88.5,0.0,8,MEDIUM
Lorry,90.8,46.3,None,0.962,84.9,1571.7,10,LOW
Ambulance,0.7,103.0,None,0.848,67.1,1666.0,13,LOW
Truck,85.8,38.4,None,0.611,66.9,2802.9,0,MEDIUM
Car,11.3,336.5,None,0.78,16.1,1788.3,7,LOW
Car,38.0,222.9,School,0.737,12.0,0.0,6,HIGH
Auto,53.8,276.6,Flood,0.974,81.5,0.0,4,MEDIUM
Truck,24.3,29.6,RoadBlock,0.907,23.6,0.0,22,MEDIUM
Container,103.8,150.7,Accident,0.949,90.5,46.8,19,HIGH
Truck,23.4,11.2,Accident,0.448,97.1,0.0,3,HIGH
Tanker,95.5,278.8,None,0.816,21.8,194.3,12,MEDIUM
Lorry,101.3,221.4,Hospital,0.597,71.7,86.6,22,HIGH
Lorry,22.1,176.5,Construction,0.93,37.9,91.6,9,MEDIUM
Auto,1.3,26.0,Construction,0.673,13.6,96.6,1,MEDIUM
Ambulance,11.5,86.9,None,0.867,73.2,1723.0,2,LOW
Container,1.1,117.2,School,0.798,17.1,0.0,15,HIGH
Container,14.6,203.7,None,0.885,19.4,1945.6,22,LOW
Bus,77.7,11.3,None,0.867,88.4,2170.9,19,LOW
Bike,88.2,121.9,None,0.552,67.9,1626.6,14,MEDIUM
Auto,80.5,29.3,None,0.929,29.7,2930.0,10,MEDIUM
Truck,37.1,65.4,None,0.814,74.7,762.5,14,LOW
Police,109.6,350.0,None,0.875,12.8,847.3,10,MEDIUM
Container,50.9,311.7,Accident,0.85,43.4,0.0,6,MEDIUM
Tanker,4.4,311.3,None,0.715,88.6,2712.0,8,LOW
Tanker,46.4,99.4,School,0.547,21.8,143.4,6,MEDIUM
Ambulance,100.0,64.5,None,0.908,88.4,1391.4,17,LOW
Police,56.6,129.0,None,0.931,33.2,2004.5,14,LOW
Truck,35.8,277.7,None,0.762,16.6,592.3,7,LOW
Lorry,57.2,121.0,None,0.987,73.6,584.4,21,LOW
Police,18.4,13.2,None,0.864,82.5,1797.5,13,LOW
Bike,95.5,73.9,None,0.931,94.3,214.1,11,LOW
Tanker,13.4,162.3,None,0.83,23.4,2961.2,8,LOW
Lorry,106.2,1.8,None,0.432,56.4,1517.7,3,MEDIUM
Bus,73.4,50.1,RoadBlock,0.698,70.6,0.0,23,HIGH
Auto,10.3,241.5,None,0.798,85.4,2839.4,3,LOW
Tanker,75.2,178.5,Bridge,0.828,93.8,0.0,5,MEDIUM
Bike,74.4,77.4,Flood,0.68,69.2,0.0,1,HIGH
Bike,5.3,350.8,None,0.684,76.5,2647.7,22,LOW
Police,44.5,117.4,Construction,0.784,49.2,0.0,18,MEDIUM
Police,13.2,195.5,None,0.97,72.6,1226.8,10,LOW
Car,49.4,85.3,None,0.388,51.7,1201.4,15,LOW
Truck,95.0,186.4,None,0.985,58.0,1862.9,15,MEDIUM
Car,84.1,291.9,Flood,0.521,93.4,0.0,18,HIGH
Truck,102.8,126.2,Bridge,0.99,37.7,0.0,17,MEDIUM
Auto,59.3,111.8,Bridge,0.95,21.0,37.0,12,LOW
Police,74.9,65.1,None,0.944,33.1,2892.5,18,LOW
Tanker,53.2,289.4,Hairpin,0.845,64.1,164.0,23,MEDIUM
Lorry,97.3,81.9,RoadBlock,0.973,91.0,0.0,21,MEDIUM
Lorry,26.1,280.2,Accident,0.939,18.6,125.1,2,MEDIUM
Ambulance,49.7,210.6,None,0.832,18.6,168.6,22,LOW
Tanker,70.6,217.9,Hairpin,0.927,54.7,0.0,9,HIGH
Police,15.0,249.6,Hospital,0.392,99.2,26.6,7,MEDIUM
Auto,11.5,260.0,RoadBlock,0.865,90.5,0.0,3,MEDIUM
Bus,35.6,81.4,None,0.825,82.0,777.8,4,LOW
Bus,59.4,315.9,None,0.994,70.3,2983.0,19,LOW
Auto,72.8,200.2,None,0.938,96.2,608.4,14,LOW
Tanker,75.9,72.1,None,0.856,41.3,2028.2,8,MEDIUM
Police,87.5,332.9,None,0.831,58.6,2541.9,2,MEDIUM
Ambulance,57.3,223.9,None,0.893,80.4,2155.4,19,LOW
Truck,4.0,108.8,Bridge,0.962,59.8,61.8,18,LOW
Car,43.7,160.5,None,0.486,99.3,2569.1,18,LOW
Bus,22.9,334.1,None,0.862,88.1,2437.2,16,LOW
Tanker,86.9,109.4,Accident,0.927,41.1,195.1,13,HIGH
Police,70.5,295.3,Hospital,0.711,25.7,0.0,11,HIGH
Container,43.9,52.5,Construction,0.831,96.7,0.0,10,MEDIUM
Police,106.2,155.3,None,0.996,67.7,726.5,21,LOW
